case_id,project,endstate_count,primitive_count,not_usable,avoidance,neutralization,clean,excluded_value_write_missing_destination,excluded_value_write_missing_destination_paths,report
60c837b,zhengchuancases0403,2,1,0,0,1,0,0,0,/home/jpu007/ExpBridge/projects/zhengchuancases0403/completed/60c837b/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
6123f04,new_bugs-1-2,14,12,3,0,3,6,0,0,/home/jpu007/ExpBridge/projects/new_bugs-1-2/completed/6123f04/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
6195888,big_test1,1,1,1,0,0,0,0,0,/home/jpu007/ExpBridge/projects/big_test1/completed/6195888/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
61b1603,big_test1,76,13,4,0,0,9,1,14,/home/jpu007/ExpBridge/projects/big_test1/completed/61b1603/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
6491ea8,zhengchuancases0403,12,1,1,0,0,0,0,0,/home/jpu007/ExpBridge/projects/zhengchuancases0403/completed/6491ea8/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
65c6b72,zhengchuancases0403,4,2,2,0,0,0,0,0,/home/jpu007/ExpBridge/projects/zhengchuancases0403/completed/65c6b72/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
6cf5652,big_test2,19,4,2,0,0,2,4,121,/home/jpu007/ExpBridge/projects/big_test2/completed/6cf5652/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
6dc9ae7,big_test3,21,2,2,0,0,0,0,0,/home/jpu007/ExpBridge/projects/big_test3/completed/6dc9ae7/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
6eaef71,big_test1,76,26,20,0,0,6,0,0,/home/jpu007/ExpBridge/projects/big_test1/completed/6eaef71/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
707d98c,big_test4-wheezy,2,2,1,0,0,1,0,0,/home/jpu007/ExpBridge/projects/big_test4-wheezy/completed/707d98c/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
709e4c8,big_test2,16,2,1,0,0,1,0,0,/home/jpu007/ExpBridge/projects/big_test2/completed/709e4c8/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
71d74a5,big_test2,76,14,6,0,0,8,0,0,/home/jpu007/ExpBridge/projects/big_test2/completed/71d74a5/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
73c586d,new_bugs-1-2,19,3,1,0,0,2,7,118,/home/jpu007/ExpBridge/projects/new_bugs-1-2/completed/73c586d/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
7b6206f,zhengchuancases0403,6,2,2,0,0,0,0,0,/home/jpu007/ExpBridge/projects/zhengchuancases0403/completed/7b6206f/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
7dd7f2f,big_test3,18,21,16,0,0,5,3,33,/home/jpu007/ExpBridge/projects/big_test3/completed/7dd7f2f/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
7e9494b,zhengchuancases0403,2,3,1,0,0,2,2,4,/home/jpu007/ExpBridge/projects/zhengchuancases0403/completed/7e9494b/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
81e96e4,big_test4,76,15,6,0,0,9,0,0,/home/jpu007/ExpBridge/projects/big_test4/completed/81e96e4/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
8811381,new_bugs-6,39,2,2,0,0,0,16,1033,/home/jpu007/ExpBridge/projects/new_bugs-6/completed/8811381/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
8993c0f,big_test3,2,1,1,0,0,0,0,0,/home/jpu007/ExpBridge/projects/big_test3/completed/8993c0f/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
8aedc9a,new_bugs-1-2,20,31,21,0,1,9,17,185,/home/jpu007/ExpBridge/projects/new_bugs-1-2/completed/8aedc9a/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
904e7cd,big_test4,5,8,2,0,0,6,0,0,/home/jpu007/ExpBridge/projects/big_test4/completed/904e7cd/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
91cf8da,new_bugs-5,16,10,6,0,0,4,0,0,/home/jpu007/ExpBridge/projects/new_bugs-5/completed/91cf8da/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
96414aa,big_test1,18,21,16,0,0,5,3,33,/home/jpu007/ExpBridge/projects/big_test1/completed/96414aa/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
98228e7,zhengchuancases0403,16,22,10,0,0,12,16,68,/home/jpu007/ExpBridge/projects/zhengchuancases0403/completed/98228e7/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
998c483,big_test1,19,6,4,0,0,2,0,0,/home/jpu007/ExpBridge/projects/big_test1/completed/998c483/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
9f6c56c,zhengchuancases0403,4,1,1,0,0,0,1,2,/home/jpu007/ExpBridge/projects/zhengchuancases0403/completed/9f6c56c/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
9f9ccb1,big_test4,2,1,1,0,0,0,0,0,/home/jpu007/ExpBridge/projects/big_test4/completed/9f9ccb1/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
a0ddc98,big_test4,2,11,8,0,0,3,6,14,/home/jpu007/ExpBridge/projects/big_test4/completed/a0ddc98/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
a42d845,zhengchuancases0403,2,1,1,0,0,0,0,0,/home/jpu007/ExpBridge/projects/zhengchuancases0403/completed/a42d845/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
a7db908,big_test1,76,11,4,0,0,7,5,304,/home/jpu007/ExpBridge/projects/big_test1/completed/a7db908/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
aa6df9d,big_test3,43,1,1,0,0,0,15,565,/home/jpu007/ExpBridge/projects/big_test3/completed/aa6df9d/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
b358909,big_test2-wheezy,24,5,4,0,0,1,0,0,/home/jpu007/ExpBridge/projects/big_test2-wheezy/completed/b358909/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
b471b7c,new_bugs-6,38,30,18,0,0,12,19,1460,/home/jpu007/ExpBridge/projects/new_bugs-6/completed/b471b7c/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
b8fe393,big_test2,4,1,1,0,0,0,7,28,/home/jpu007/ExpBridge/projects/big_test2/completed/b8fe393/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
bbeb1c8,zhengchuancases0403,5,4,3,0,0,1,3,9,/home/jpu007/ExpBridge/projects/zhengchuancases0403/completed/bbeb1c8/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
bd39145,big_test2,1,12,8,0,0,4,1,1,/home/jpu007/ExpBridge/projects/big_test2/completed/bd39145/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
bf967d2,big_test2,3,5,5,0,0,0,0,0,/home/jpu007/ExpBridge/projects/big_test2/completed/bf967d2/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
c041b4c,new_bugs-6,38,30,18,0,0,12,19,1460,/home/jpu007/ExpBridge/projects/new_bugs-6/completed/c041b4c/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
c244f4a,zhengchuancases0403,5,8,7,0,0,1,0,0,/home/jpu007/ExpBridge/projects/zhengchuancases0403/completed/c244f4a/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
c400f7b,zhengchuancases0403,6,1,0,0,1,0,0,0,/home/jpu007/ExpBridge/projects/zhengchuancases0403/completed/c400f7b/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
c72da7b,big_test1,4,12,8,0,0,4,9,17,/home/jpu007/ExpBridge/projects/big_test1/completed/c72da7b/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
c8ae652,big_test1,20,25,20,0,0,5,14,117,/home/jpu007/ExpBridge/projects/big_test1/completed/c8ae652/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
c90849c,big_test3,21,4,3,0,0,1,15,322,/home/jpu007/ExpBridge/projects/big_test3/completed/c90849c/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
c96e4df,big_test3,109,2,2,0,0,0,19,944,/home/jpu007/ExpBridge/projects/big_test3/completed/c96e4df/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
ccf0a61,big_test2,1,8,7,0,0,1,0,0,/home/jpu007/ExpBridge/projects/big_test2/completed/ccf0a61/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
ccf20f8,new_bugs-3-2,2,3,3,0,0,0,0,0,/home/jpu007/ExpBridge/projects/new_bugs-3-2/completed/ccf20f8/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
d2c5e69,big_test4,4,1,1,0,0,0,30,108,/home/jpu007/ExpBridge/projects/big_test4/completed/d2c5e69/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
d5a0a17,big_test4,1,9,6,0,0,3,0,0,/home/jpu007/ExpBridge/projects/big_test4/completed/d5a0a17/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
d8489a7,zhengchuancases0403,12,4,1,0,0,3,9,48,/home/jpu007/ExpBridge/projects/zhengchuancases0403/completed/d8489a7/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
db1c219,big_test4,1,1,1,0,0,0,0,0,/home/jpu007/ExpBridge/projects/big_test4/completed/db1c219/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
df0d0f5,zhengchuancases0403,2,2,2,0,0,0,0,0,/home/jpu007/ExpBridge/projects/zhengchuancases0403/completed/df0d0f5/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
dfccdb2,big_test1,2,2,2,0,0,0,0,0,/home/jpu007/ExpBridge/projects/big_test1/completed/dfccdb2/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
e1a1577,big_test4,1,2,1,0,0,1,0,0,/home/jpu007/ExpBridge/projects/big_test4/completed/e1a1577/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
e3cd8df,my3,3,5,3,0,0,2,4,6,/home/jpu007/ExpBridge/projects/my3/completed/e3cd8df/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
e5db00b,big_test2,4,12,8,0,0,4,9,17,/home/jpu007/ExpBridge/projects/big_test2/completed/e5db00b/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
e84662c,big_test4,2,13,7,0,0,6,1,2,/home/jpu007/ExpBridge/projects/big_test4/completed/e84662c/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
eae585b,zhengchuancases0403,8,3,1,0,0,2,0,0,/home/jpu007/ExpBridge/projects/zhengchuancases0403/completed/eae585b/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
efae31b,big_test2,2,2,2,0,0,0,1,5,/home/jpu007/ExpBridge/projects/big_test2/completed/efae31b/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
f31660c,big_test3,84,1,1,0,0,0,42,1532,/home/jpu007/ExpBridge/projects/big_test3/completed/f31660c/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
f3ce716,zhengchuancases0403,2,1,1,0,0,0,0,0,/home/jpu007/ExpBridge/projects/zhengchuancases0403/completed/f3ce716/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
f3e9678,big_test3,2,2,2,0,0,0,0,0,/home/jpu007/ExpBridge/projects/big_test3/completed/f3e9678/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
f951f66,big_test4,2,1,1,0,0,0,0,0,/home/jpu007/ExpBridge/projects/big_test4/completed/f951f66/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
fdc0000,big_test1,52,18,12,0,0,6,0,0,/home/jpu007/ExpBridge/projects/big_test1/completed/fdc0000/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
